lot_id,timestamp_hour,crop_type,temperature_C,humidity_RH,initial_quality,cnn_ripeness_score,transport_duration_h,T_ref_C,Q10,r_ref_per_day,delta_t_days,degradation_rate,cumulative_degradation_D,RSL_physics_days,RSL_actual_days,delta_RSL_ML_target_days
1,35,Tomato,28.34,70.16,0.876,0.412,3.97,25.0,2.0,1.0,0.041667,1.26035,1.63471,8.3653,8.2696,-0.0957
1,36,Tomato,28.38,72.88,0.876,0.412,3.97,25.0,2.0,1.0,0.041667,1.26375,1.68737,8.3126,8.2836,-0.029
1,37,Tomato,25.41,65.6,0.876,0.412,3.97,25.0,2.0,1.0,0.041667,1.02874,1.73024,8.2698,8.2108,-0.059
1,38,Tomato,25.72,65.73,0.876,0.412,3.97,25.0,2.0,1.0,0.041667,1.05119,1.77403,8.226,8.2095,-0.0165
1,39,Tomato,23.9,63.79,0.876,0.412,3.97,25.0,2.0,1.0,0.041667,0.92662,1.81264,8.1874,8.0613,-0.126
1,40,Tomato,24.26,73.48,0.876,0.412,3.97,25.0,2.0,1.0,0.041667,0.95012,1.85223,8.1478,8.0036,-0.1442
1,41,Tomato,24.07,61.83,0.876,0.412,3.97,25.0,2.0,1.0,0.041667,0.93771,1.8913,8.1087,7.9069,-0.2018
1,42,Tomato,21.64,59.35,0.876,0.412,3.97,25.0,2.0,1.0,0.041667,0.79202,1.9243,8.0757,7.8983,-0.1774
1,43,Tomato,22.64,64.03,0.876,0.412,3.97,25.0,2.0,1.0,0.041667,0.84938,1.9597,8.0403,7.9063,-0.134
1,44,Tomato,21.12,66.86,0.876,0.412,3.97,25.0,2.0,1.0,0.041667,0.76424,1.99154,8.0085,7.9361,-0.0724
1,45,Tomato,20.76,63.33,0.876,0.412,3.97,25.0,2.0,1.0,0.041667,0.7456,2.02261,7.9774,7.8753,-0.1021
1,46,Tomato,25.53,72.43,0.876,0.412,3.97,25.0,2.0,1.0,0.041667,1.0375,2.06583,7.9342,7.7978,-0.1364
1,47,Tomato,22.04,73.25,0.876,0.412,3.97,25.0,2.0,1.0,0.041667,0.81445,2.09977,7.9002,7.6343,-0.266
1,48,Tomato,22.84,68.22,0.876,0.412,3.97,25.0,2.0,1.0,0.041667,0.86083,2.13564,7.8644,7.7112,-0.1532
1,49,Tomato,22.93,79.35,0.876,0.412,3.97,25.0,2.0,1.0,0.041667,0.86655,2.17174,7.8283,7.4749,-0.3533
1,50,Tomato,24.68,85.48,0.876,0.412,3.97,25.0,2.0,1.0,0.041667,0.97778,2.21249,7.7875,7.4734,-0.3142
1,51,Tomato,23.01,80.66,0.876,0.412,3.97,25.0,2.0,1.0,0.041667,0.87122,2.24879,7.7512,7.3663,-0.3849
1,52,Tomato,31.4,82.86,0.876,0.412,3.97,25.0,2.0,1.0,0.041667,1.55826,2.31371,7.6863,7.379,-0.3073
1,53,Tomato,26.05,80.99,0.876,0.412,3.97,25.0,2.0,1.0,0.041667,1.07571,2.35854,7.6415,7.3791,-0.2623
1,54,Tomato,28.14,88.24,0.876,0.412,3.97,25.0,2.0,1.0,0.041667,1.24317,2.41033,7.5897,7.0135,-0.5762
1,55,Tomato,26.85,83.1,0.876,0.412,3.97,25.0,2.0,1.0,0.041667,1.13708,2.45771,7.5423,7.1742,-0.3681
1,56,Tomato,28.55,79.7,0.876,0.412,3.97,25.0,2.0,1.0,0.041667,1.27876,2.51099,7.489,7.078,-0.411
1,57,Tomato,27.77,74.12,0.876,0.412,3.97,25.0,2.0,1.0,0.041667,1.21151,2.56147,7.4385,7.1265,-0.3121
1,58,Tomato,28.05,75.74,0.876,0.412,3.97,25.0,2.0,1.0,0.041667,1.23576,2.61296,7.387,7.2747,-0.1123
1,59,Tomato,26.79,74.41,0.876,0.412,3.97,25.0,2.0,1.0,0.041667,1.1324,2.66015,7.3399,7.0568,-0.2831
1,60,Tomato,26.89,64.72,0.876,0.412,3.97,25.0,2.0,1.0,0.041667,1.13988,2.70764,7.2924,7.2168,-0.0756
1,61,Tomato,28.56,62.06,0.876,0.412,3.97,25.0,2.0,1.0,0.041667,1.28,2.76098,7.239,7.0811,-0.1579
1,62,Tomato,25.38,79.05,0.876,0.412,3.97,25.0,2.0,1.0,0.041667,1.02636,2.80374,7.1963,6.7994,-0.3968
1,63,Tomato,24.61,62.83,0.876,0.412,3.97,25.0,2.0,1.0,0.041667,0.97307,2.84429,7.1557,6.9997,-0.156
1,64,Tomato,24.91,60.17,0.876,0.412,3.97,25.0,2.0,1.0,0.041667,0.99368,2.88569,7.1143,6.8822,-0.2321
1,65,Tomato,22.04,58.39,0.876,0.412,3.97,25.0,2.0,1.0,0.041667,0.81436,2.91962,7.0804,7.015,-0.0654
1,66,Tomato,22.6,66.04,0.876,0.412,3.97,25.0,2.0,1.0,0.041667,0.84698,2.95491,7.0451,6.8408,-0.2042
1,67,Tomato,27.99,65.43,0.876,0.412,3.97,25.0,2.0,1.0,0.041667,1.23028,3.00617,6.9938,6.8196,-0.1742
1,68,Tomato,22.03,69.98,0.876,0.412,3.97,25.0,2.0,1.0,0.041667,0.81409,3.04009,6.9599,6.7798,-0.1801
1,69,Tomato,21.1,62.5,0.876,0.412,3.97,25.0,2.0,1.0,0.041667,0.76309,3.07189,6.9281,6.7791,-0.149
1,70,Tomato,22.63,66.34,0.876,0.412,3.97,25.0,2.0,1.0,0.041667,0.84846,3.10724,6.8928,6.6718,-0.2209
1,71,Tomato,23.2,70.53,0.876,0.412,3.97,25.0,2.0,1.0,0.041667,0.88273,3.14402,6.856,6.6058,-0.2502
1,72,Tomato,22.26,72.28,0.876,0.412,3.97,25.0,2.0,1.0,0.041667,0.82685,3.17847,6.8215,6.5256,-0.2959
1,73,Tomato,22.93,76.78,0.876,0.412,3.97,25.0,2.0,1.0,0.041667,0.8666,3.21458,6.7854,6.287,-0.4984
1,74,Tomato,22.8,76.32,0.876,0.412,3.97,25.0,2.0,1.0,0.041667,0.85841,3.25035,6.7497,6.4782,-0.2714
1,75,Tomato,25.11,84.53,0.876,0.412,3.97,25.0,2.0,1.0,0.041667,1.0079,3.29234,6.7077,6.0968,-0.6109
1,76,Tomato,29.12,82.31,0.876,0.412,3.97,25.0,2.0,1.0,0.041667,1.33038,3.34778,6.6522,6.078,-0.5742
1,77,Tomato,26.8,82.21,0.876,0.412,3.97,25.0,2.0,1.0,0.041667,1.13266,3.39497,6.605,6.0671,-0.5379
1,78,Tomato,27.41,82.55,0.876,0.412,3.97,25.0,2.0,1.0,0.041667,1.18201,3.44422,6.5558,6.027,-0.5287
1,79,Tomato,27.94,81.29,0.876,0.412,3.97,25.0,2.0,1.0,0.041667,1.2258,3.4953,6.5047,5.9789,-0.5258
1,80,Tomato,29.52,82.38,0.876,0.412,3.97,25.0,2.0,1.0,0.041667,1.36834,3.55231,6.4477,5.9272,-0.5204
1,81,Tomato,27.9,80.79,0.876,0.412,3.97,25.0,2.0,1.0,0.041667,1.22226,3.60324,6.3968,5.8952,-0.5016
1,82,Tomato,26.72,73.29,0.876,0.412,3.97,25.0,2.0,1.0,0.041667,1.12637,3.65017,6.3498,5.9953,-0.3545
1,83,Tomato,25.96,74.11,0.876,0.412,3.97,25.0,2.0,1.0,0.041667,1.06849,3.69469,6.3053,5.9802,-0.3251
1,84,Tomato,28.56,73.95,0.876,0.412,3.97,25.0,2.0,1.0,0.041667,1.28028,3.74804,6.252,5.8286,-0.4234
1,85,Tomato,26.91,64.62,0.876,0.412,3.97,25.0,2.0,1.0,0.041667,1.14136,3.79559,6.2044,5.9905,-0.2139
1,86,Tomato,26.19,60.91,0.876,0.412,3.97,25.0,2.0,1.0,0.041667,1.08573,3.84083,6.1592,5.8729,-0.2862
1,87,Tomato,25.4,64.8,0.876,0.412,3.97,25.0,2.0,1.0,0.041667,1.02809,3.88367,6.1163,5.997,-0.1193
1,88,Tomato,24.67,61.31,0.876,0.412,3.97,25.0,2.0,1.0,0.041667,0.97715,3.92438,6.0756,5.8825,-0.1931
1,89,Tomato,22.41,63.66,0.876,0.412,3.97,25.0,2.0,1.0,0.041667,0.83593,3.95921,6.0408,5.7293,-0.3115
1,90,Tomato,22.73,66.78,0.876,0.412,3.97,25.0,2.0,1.0,0.041667,0.85417,3.9948,6.0052,5.7345,-0.2707
1,91,Tomato,22.64,66.33,0.876,0.412,3.97,25.0,2.0,1.0,0.041667,0.84921,4.03019,5.9698,5.6138,-0.356
1,92,Tomato,27.17,68.71,0.876,0.412,3.97,25.0,2.0,1.0,0.041667,1.16255,4.07863,5.9214,5.6704,-0.2509
1,93,Tomato,22.96,60.86,0.876,0.412,3.97,25.0,2.0,1.0,0.041667,0.86797,4.11479,5.8852,5.6091,-0.2761
1,94,Tomato,22.71,66.98,0.876,0.412,3.97,25.0,2.0,1.0,0.041667,0.85319,4.15034,5.8497,5.6621,-0.1876
1,95,Tomato,20.79,70.81,0.876,0.412,3.97,25.0,2.0,1.0,0.041667,0.74689,4.18146,5.8185,5.2825,-0.5361
2,0,Banana,27.5,78.9,0.916,0.446,4.58,25.0,2.2,1.0,0.041667,1.21811,0.05075,6.9492,6.9621,0.0129
2,1,Banana,28.49,79.43,0.916,0.446,4.58,25.0,2.2,1.0,0.041667,1.31712,0.10563,6.8944,6.8672,-0.0271
2,2,Banana,27.44,76.85,0.916,0.446,4.58,25.0,2.2,1.0,0.041667,1.212,0.15613,6.8439,6.8409,-0.003
2,3,Banana,27.07,77.37,0.916,0.446,4.58,25.0,2.2,1.0,0.041667,1.17704,0.20518,6.7948,6.611,-0.1838
2,4,Banana,27.25,75.45,0.916,0.446,4.58,25.0,2.2,1.0,0.041667,1.19395,0.25493,6.7451,6.7304,-0.0147
2,5,Banana,27.36,70.02,0.916,0.446,4.58,25.0,2.2,1.0,0.041667,1.20469,0.30512,6.6949,6.736,0.0411
2,6,Banana,26.82,62.73,0.916,0.446,4.58,25.0,2.2,1.0,0.041667,1.15444,0.35322,6.6468,6.7751,0.1284
2,7,Banana,29.97,68.93,0.916,0.446,4.58,25.0,2.2,1.0,0.041667,1.47967,0.41488,6.5851,6.5965,0.0114
2,8,Banana,24.83,65.33,0.916,0.446,4.58,25.0,2.2,1.0,0.041667,0.98673,0.45599,6.544,6.4674,-0.0766
2,9,Banana,24.11,61.52,0.916,0.446,4.58,25.0,2.2,1.0,0.041667,0.93244,0.49484,6.5052,6.4034,-0.1017
2,10,Banana,24.35,65.13,0.916,0.446,4.58,25.0,2.2,1.0,0.041667,0.95001,0.53442,6.4656,6.3762,-0.0894
2,11,Banana,23.43,66.57,0.916,0.446,4.58,25.0,2.2,1.0,0.041667,0.88386,0.57125,6.4287,6.4449,0.0162
2,12,Banana,22.48,60.28,0.916,0.446,4.58,25.0,2.2,1.0,0.041667,0.8197,0.60541,6.3946,6.2143,-0.1803
2,13,Banana,23.21,59.03,0.916,0.446,4.58,25.0,2.2,1.0,0.041667,0.8686,0.6416,6.3584,6.3723,0.0139
2,14,Banana,21.67,62.89,0.916,0.446,4.58,25.0,2.2,1.0,0.041667,0.7692,0.67365,6.3264,6.2249,-0.1014
2,15,Banana,21.51,66.95,0.916,0.446,4.58,25.0,2.2,1.0,0.041667,0.75946,0.70529,6.2947,6.1829,-0.1118
2,16,Banana,22.47,68.94,0.916,0.446,4.58,25.0,2.2,1.0,0.041667,0.81937,0.73943,6.2606,6.1462,-0.1144
2,17,Banana,21.96,72.07,0.916,0.446,4.58,25.0,2.2,1.0,0.041667,0.78687,0.77222,6.2278,6.2154,-0.0124
2,18,Banana,23.77,72.08,0.916,0.446,4.58,25.0,2.2,1.0,0.041667,0.90763,0.81004,6.19,6.1344,-0.0556
2,19,Banana,21.1,77.58,0.916,0.446,4.58,25.0,2.2,1.0,0.041667,0.73511,0.84066,6.1593,5.9816,-0.1777
2,20,Banana,23.27,79.71,0.916,0.446,4.58,25.0,2.2,1.0,0.041667,0.87243,0.87702,6.123,5.9903,-0.1327
2,21,Banana,24.71,83.56,0.916,0.446,4.58,25.0,2.2,1.0,0.041667,0.97712,0.91773,6.0823,5.8736,-0.2087
2,22,Banana,26.84,83.91,0.916,0.446,4.58,25.0,2.2,1.0,0.041667,1.15636,0.96591,6.0341,5.7159,-0.3182
2,23,Banana,25.63,83.11,0.916,0.446,4.58,25.0,2.2,1.0,0.041667,1.05122,1.00971,5.9903,5.7692,-0.2211
2,24,Banana,27.61,86.46,0.916,0.446,4.58,25.0,2.2,1.0,0.041667,1.22865,1.06091,5.9391,5.6426,-0.2965
2,25,Banana,28.16,81.96,0.916,0.446,4.58,25.0,2.2,1.0,0.041667,1.28328,1.11438,5.8856,5.6785,-0.2072
2,26,Banana,25.93,80.31,0.916,0.446,4.58,25.0,2.2,1.0,0.041667,1.07596,1.15921,5.8408,5.655,-0.1858
2,27,Banana,29.17,71.58,0.916,0.446,4.58,25.0,2.2,1.0,0.041667,1.38929,1.21709,5.7829,5.631,-0.1519
2,28,Banana,26.46,74.86,0.916,0.446,4.58,25.0,2.2,1.0,0.041667,1.12163,1.26383,5.7362,5.6595,-0.0767
2,29,Banana,27.65,67.79,0.916,0.446,4.58,25.0,2.2,1.0,0.041667,1.23206,1.31516,5.6848,5.6647,-0.0201
2,30,Banana,27.53,73.37,0.916,0.446,4.58,25.0,2.2,1.0,0.041667,1.22052,1.36602,5.634,5.4442,-0.1898
2,31,Banana,26.8,78.68,0.916,0.446,4.58,25.0,2.2,1.0,0.041667,1.15246,1.41404,5.586,5.3271,-0.2589
2,32,Banana,26.14,66.09,0.916,0.446,4.58,25.0,2.2,1.0,0.041667,1.09376,1.45961,5.5404,5.4047,-0.1357
2,33,Banana,24.05,62.17,0.916,0.446,4.58,25.0,2.2,1.0,0.041667,0.92754,1.49826,5.5017,5.3467,-0.155
2,34,Banana,24.94,66.47,0.916,0.446,4.58,25.0,2.2,1.0,0.041667,0.99495,1.53972,5.4603,5.2733,-0.187
2,35,Banana,22.32,62.51,0.916,0.446,4.58,25.0,2.2,1.0,0.041667,0.80933,1.57344,5.4266,5.3746,-0.052
2,36,Banana,23.42,62.12,0.916,0.446,4.58,25.0,2.2,1.0,0.041667,0.88263,1.61021,5.3898,5.4627,0.0729
2,37,Banana,28.1,63.56,0.916,0.446,4.58,25.0,2.2,1.0,0.041667,1.27676,1.66341,5.3366,5.2679,-0.0687
2,38,Banana,22.28,66.1,0.916,0.446,4.58,25.0,2.2,1.0,0.041667,0.80693,1.69703,5.303,5.0563,-0.2466
2,39,Banana,23.7,63.83,0.916,0.446,4.58,25.0,2.2,1.0,0.041667,0.90251,1.73464,5.2654,5.1206,-0.1448
2,40,Banana,24.41,70.76,0.916,0.446,4.58,25.0,2.2,1.0,0.041667,0.95431,1.7744,5.2256,5.1253,-0.1003
2,41,Banana,25.92,74.33,0.916,0.446,4.58,25.0,2.2,1.0,0.041667,1.07483,1.81919,5.1808,4.7741,-0.4067
2,42,Banana,21.77,70.48,0.916,0.446,4.58,25.0,2.2,1.0,0.041667,0.77517,1.85149,5.1485,4.9339,-0.2146
2,43,Banana,22.21,76.78,0.916,0.446,4.58,25.0,2.2,1.0,0.041667,0.80259,1.88493,5.1151,4.7552,-0.3599
2,44,Banana,24.09,81.0,0.916,0.446,4.58,25.0,2.2,1.0,0.041667,0.93051,1.9237,5.0763,4.7533,-0.323
2,45,Banana,24.08,80.55,0.916,0.446,4.58,25.0,2.2,1.0,0.041667,0.92983,1.96244,5.0376,4.7477,-0.2899
2,46,Banana,25.86,81.53,0.916,0.446,4.58,25.0,2.2,1.0,0.041667,1.07011,2.00703,4.993,4.6221,-0.3709
2,47,Banana,30.49,79.86,0.916,0.446,4.58,25.0,2.2,1.0,0.041667,1.54129,2.07125,4.9288,4.628,-0.3008
2,48,Banana,28.42,73.74,0.916,0.446,4.58,25.0,2.2,1.0,0.041667,1.30973,2.12582,4.8742,4.5237,-0.3504
2,49,Banana,27.82,76.55,0.916,0.446,4.58,25.0,2.2,1.0,0.041667,1.24873,2.17785,4.8221,4.4698,-0.3523
2,50,Banana,27.59,79.02,0.916,0.446,4.58,25.0,2.2,1.0,0.041667,1.22657,2.22896,4.771,4.4423,-0.3287
2,51,Banana,28.03,85.09,0.916,0.446,4.58,25.0,2.2,1.0,0.041667,1.26946,2.28185,4.7181,4.1501,-0.568
2,52,Banana,27.41,76.28,0.916,0.446,4.58,25.0,2.2,1.0,0.041667,1.20888,2.33222,4.6678,4.3425,-0.3253
2,53,Banana,27.22,72.93,0.916,0.446,4.58,25.0,2.2,1.0,0.041667,1.19161,2.38187,4.6181,4.3622,-0.256
2,54,Banana,26.1,71.48,0.916,0.446,4.58,25.0,2.2,1.0,0.041667,1.09026,2.4273,4.5727,4.333,-0.2397
2,55,Banana,25.31,63.47,0.916,0.446,4.58,25.0,2.2,1.0,0.041667,1.02476,2.47,4.53,4.2662,-0.2638
2,56,Banana,24.3,66.91,0.916,0.446,4.58,25.0,2.2,1.0,0.041667,0.94665,2.50944,4.4906,4.0997,-0.3908
2,57,Banana,26.45,66.37,0.916,0.446,4.58,25.0,2.2,1.0,0.041667,1.12144,2.55617,4.4438,4.219,-0.2249
2,58,Banana,23.83,62.23,0.916,0.446,4.58,25.0,2.2,1.0,0.041667,0.91158,2.59415,4.4058,4.0875,-0.3183
2,59,Banana,24.11,58.14,0.916,0.446,4.58,25.0,2.2,1.0,0.041667,0.93194,2.63298,4.367,4.1606,-0.2064
2,60,Banana,23.0,59.35,0.916,0.446,4.58,25.0,2.2,1.0,0.041667,0.85437,2.66858,4.3314,4.1953,-0.1361
2,61,Banana,22.79,68.09,0.916,0.446,4.58,25.0,2.2,1.0,0.041667,0.84019,2.70359,4.2964,4.1613,-0.1351
2,62,Banana,20.43,60.93,0.916,0.446,4.58,25.0,2.2,1.0,0.041667,0.69731,2.73264,4.2674,4.0824,-0.185
2,63,Banana,21.35,62.5,0.916,0.446,4.58,25.0,2.2,1.0,0.041667,0.74979,2.76389,4.2361,4.0522,-0.1839
2,64,Banana,21.29,65.14,0.916,0.446,4.58,25.0,2.2,1.0,0.041667,0.74645,2.79499,4.205,3.8929,-0.3121
2,65,Banana,24.81,72.06,0.916,0.446,4.58,25.0,2.2,1.0,0.041667,0.98501,2.83603,4.164,3.8468,-0.3172
2,66,Banana,22.41,74.73,0.916,0.446,4.58,25.0,2.2,1.0,0.041667,0.81548,2.87001,4.13,3.8492,-0.2808
2,67,Banana,22.93,77.34,0.916,0.446,4.58,25.0,2.2,1.0,0.041667,0.84947,2.9054,4.0946,3.6537,-0.4409
2,68,Banana,23.73,84.35,0.916,0.446,4.58,25.0,2.2,1.0,0.041667,0.90473,2.9431,4.0569,3.5068,-0.5501
2,69,Banana,25.95,75.26,0.916,0.446,4.58,25.0,2.2,1.0,0.041667,1.07765,2.988,4.012,3.7057,-0.3063
2,70,Banana,25.78,83.46,0.916,0.446,4.58,25.0,2.2,1.0,0.041667,1.06342,3.03231,3.9677,3.4233,-0.5444
2,71,Banana,27.11,85.86,0.916,0.446,4.58,25.0,2.2,1.0,0.041667,1.18123,3.08153,3.9185,3.2828,-0.6356
2,72,Banana,27.11,76.73,0.916,0.446,4.58,25.0,2.2,1.0,0.041667,1.18093,3.13073,3.8693,3.4661,-0.4032
2,73,Banana,27.82,93.11,0.916,0.446,4.58,25.0,2.2,1.0,0.041667,1.24908,3.18278,3.8172,2.3278,-1.4895
2,74,Banana,28.32,78.59,0.916,0.446,4.58,25.0,2.2,1.0,0.041667,1.299,3.2369,3.7631,3.3753,-0.3877
2,75,Banana,27.93,89.19,0.916,0.446,4.58,25.0,2.2,1.0,0.041667,1.25956,3.28939,3.7106,2.6132,-1.0974
2,76,Banana,27.49,73.88,0.916,0.446,4.58,25.0,2.2,1.0,0.041667,1.21663,3.34008,3.6599,3.3414,-0.3185
2,77,Banana,26.76,73.47,0.916,0.446,4.58,25.0,2.2,1.0,0.041667,1.14846,3.38793,3.6121,3.0395,-0.5726
2,78,Banana,28.0,65.18,0.916,0.446,4.58,25.0,2.2,1.0,0.041667,1.26662,3.44071,3.5593,3.2729,-0.2864
2,79,Banana,27.4,70.87,0.916,0.446,4.58,25.0,2.2,1.0,0.041667,1.20786,3.49103,3.509,3.0663,-0.4427
2,80,Banana,27.77,64.0,0.916,0.446,4.58,25.0,2.2,1.0,0.041667,1.24454,3.54289,3.4571,3.1233,-0.3338
2,81,Banana,26.23,60.84,0.916,0.446,4.58,25.0,2.2,1.0,0.041667,1.10227,3.58882,3.4112,3.1726,-0.2386
2,82,Banana,22.94,59.65,0.916,0.446,4.58,25.0,2.2,1.0,0.041667,0.85029,3.62425,3.3758,3.0669,-0.3089
2,83,Banana,23.65,58.79,0.916,0.446,4.58,25.0,2.2,1.0,0.041667,0.89888,3.6617,3.3383,3.0828,-0.2555
2,84,Banana,23.71,61.64,0.916,0.446,4.58,25.0,2.2,1.0,0.041667,0.90354,3.69935,3.3007,2.8968,-0.4039
2,85,Banana,22.71,66.73,0.916,0.446,4.58,25.0,2.2,1.0,0.041667,0.83483,3.73413,3.2659,3.0478,-0.2181
2,86,Banana,21.51,63.18,0.916,0.446,4.58,25.0,2.2,1.0,0.041667,0.75945,3.76578,3.2342,2.8612,-0.373
2,87,Banana,23.07,65.68,0.916,0.446,4.58,25.0,2.2,1.0,0.041667,0.85891,3.80156,3.1984,2.7665,-0.4319
2,88,Banana,21.37,70.61,0.916,0.446,4.58,25.0,2.2,1.0,0.041667,0.75128,3.83287,3.1671,2.7536,-0.4136
2,89,Banana,21.08,69.25,0.916,0.446,4.58,25.0,2.2,1.0,0.041667,0.73384,3.86344,3.1366,2.7392,-0.3973
2,90,Banana,22.38,73.2,0.916,0.446,4.58,25.0,2.2,1.0,0.041667,0.81333,3.89733,3.1027,2.6383,-0.4644
2,91,Banana,23.86,74.25,0.916,0.446,4.58,25.0,2.2,1.0,0.041667,0.91438,3.93543,3.0646,2.5608,-0.5038
2,92,Banana,23.05,76.72,0.916,0.446,4.58,25.0,2.2,1.0,0.041667,0.85769,3.97117,3.0288,2.4236,-0.6052
2,93,Banana,25.27,70.1,0.916,0.446,4.58,25.0,2.2,1.0,0.041667,1.02188,4.01375,2.9863,2.4708,-0.5154
2,94,Banana,25.41,84.73,0.916,0.446,4.58,25.0,2.2,1.0,0.041667,1.03256,4.05677,2.9432,2.1251,-0.8181
2,95,Banana,26.24,84.8,0.916,0.446,4.58,25.0,2.2,1.0,0.041667,1.10267,4.10271,2.8973,2.0517,-0.8456
3,0,Banana,22.77,65.63,0.94,0.622,23.03,25.0,2.2,1.0,0.041667,0.83891,0.03495,6.965,6.9273,-0.0377
